ID,component,defect
e5dbf056-48cf-43f0-9c50-b93e696ef8c1,defect,Corrosion-Heavy
e5dbf056-48cf-43f0-9c50-b93e696ef8c1,component,Centre Support-Bolt
2cb6ab90-c410-4cfc-960e-8165914dd96d,defect,Corrosion-Heavy
2cb6ab90-c410-4cfc-960e-8165914dd96d,component,Centre Support-Bolt
0147a851-4a20-45e9-a68c-b08434bed53d,defect,Corrosion-Heavy
0147a851-4a20-45e9-a68c-b08434bed53d,component,Centre Support-Bolt
ba5e1e8b-7b45-463e-ae50-7e9008e53a21,defect,Corrosion-Heavy
ba5e1e8b-7b45-463e-ae50-7e9008e53a21,component,Centre Support-Bolt
05721f7a-c81d-44de-b8d1-5168cf817697,defect,Corrosion-Heavy
05721f7a-c81d-44de-b8d1-5168cf817697,component,Centre Support-Bolt
cd0ac093-53f7-47e0-8ef9-c489e5c8a939,defect,Corrosion-Heavy
cd0ac093-53f7-47e0-8ef9-c489e5c8a939,component,Centre Support-Bolt
7ab57503-2311-4e14-8de0-8291dec6c1cf,defect,Corrosion-Heavy
7ab57503-2311-4e14-8de0-8291dec6c1cf,component,Centre Support-Bolt
d5d2868d-a5bc-4baa-b630-5eccb25ba921,defect,Corrosion-Heavy
d5d2868d-a5bc-4baa-b630-5eccb25ba921,component,Centre Support-Bolt
82b8af7d-136c-45c7-8d54-3ec5d908ab92,defect,Corrosion-Heavy
82b8af7d-136c-45c7-8d54-3ec5d908ab92,component,Centre Support-Bolt
0f78da60-fa46-45f5-b7d5-b58822571263,defect,Corrosion-Heavy
0f78da60-fa46-45f5-b7d5-b58822571263,component,Centre Support-Bolt
db19c5fb-3079-4109-bbeb-6328014fa909,defect,Corrosion-Heavy
db19c5fb-3079-4109-bbeb-6328014fa909,component,Centre Support-Bolt
28ce7ec7-3e91-4ea0-a6e1-1bf4c256332b,defect,Corrosion-Heavy
28ce7ec7-3e91-4ea0-a6e1-1bf4c256332b,component,Centre Support-Bolt
47973566-dde1-418c-a614-14302487cc6f,defect,Corrosion-Heavy
47973566-dde1-418c-a614-14302487cc6f,component,Centre Support-Bolt
e5dbf056-48cf-43f0-9c50-b93e696ef8c1,component,Centre Support
b36a0159-c164-4df3-b673-04cee0b07bfd,defect,Corrosion-Heavy
b36a0159-c164-4df3-b673-04cee0b07bfd,component,Centre Support
10cf6696-9bbd-4e01-8c18-cb59796e9cf0,defect,Corrosion-Heavy
10cf6696-9bbd-4e01-8c18-cb59796e9cf0,component,Centre Support
386950d3-d005-45a4-a87a-623bbd001819,defect,Corrosion-Heavy
